nodes,ranks,seed,iterations,subiterations,graph_size,graph_file,communication_delay
1,4,1,16,5,256,graphs/power8.0.256.txt,32
1,4,2,16,5,256,graphs/power8.0.256.txt,32
1,4,1,32,5,256,graphs/power8.0.256.txt,32
1,4,2,32,5,256,graphs/power8.0.256.txt,32
1,4,1,64,5,256,graphs/power8.0.256.txt,32
1,4,2,64,5,256,graphs/power8.0.256.txt,32
1,4,1,128,5,256,graphs/power8.0.256.txt,32
1,4,2,128,5,256,graphs/power8.0.256.txt,32
1,4,1,256,5,256,graphs/power8.0.256.txt,32
1,4,2,256,5,256,graphs/power8.0.256.txt,32
1,4,1,512,5,256,graphs/power8.0.256.txt,32
1,4,2,512,5,256,graphs/power8.0.256.txt,32
1,4,1,1024,5,256,graphs/power8.0.256.txt,32
1,4,2,1024,5,256,graphs/power8.0.256.txt,32
1,4,1,2048,5,256,graphs/power8.0.256.txt,32
1,4,2,2048,5,256,graphs/power8.0.256.txt,32
1,4,1,4096,5,256,graphs/power8.0.256.txt,32
1,4,2,4096,5,256,graphs/power8.0.256.txt,32
1,4,1,8192,5,256,graphs/power8.0.256.txt,32
1,4,2,8192,5,256,graphs/power8.0.256.txt,32
